도서관명,주소,설립주체,개관년도,대지(m²),연면적(m²),열람석(석),"소장자료, 도서(권)",이용자수(명))
구미시립중앙도서관,경상북도 구미시 경은로85 (구미시립도서관),구미시,1994,6783.4,8395.37,931,15069,3376
경산시립도서관,경북 경산시 하양읍문화로 10길 15(금락리 97번지),경산시청,2007,4343,2557,509,0,0
경산도서관(구 경산시립도서관 경산분관),경북 경산시 서상동 36-6 ,경산시,1968,1310,783,194,0,0
경상북도립상주도서관화령분관,경북 상주시 화서면 달천리 503-1 ,경상북도교육청,1992,1040,774,290,0,0
경상북도립울진공공도서관,경북 울진군 울진읍월변7길 17(읍내리 290-6),경상북도교육청,1974,2263,1628.83,155,87390,58760
경상북도립상주도서관화령분관,경북 상주시 화서면 달천리 503-1 ,경상북도교육청,1992,1040,774,290,0,0
경주중앙도서관(구 경주시립도서관중앙분관),경북 경주시 사정동 금성로 236(1-26번지),경주시,1953,2013,536,58,0,0
경상북도립상주도서관화령분관,경북 상주시 화서면 달천리 503-1 ,경상북도교육청,1992,1040,774,290,0,0
경상북도립청도공공도서관,경상북도 청도군 청화로124,경상북도교육청,1984,3891,1703,568,2800,1925
영천시립도서관,경상북도 영천시중앙동 1길 80 ,영천시,1985,12857,5639,630,0,0
경상북도립영주공공도서관,경상북도 영주시 중앙로7,경상북도교육청,1983,5112,1807,582,23262,5923
경상북도학생문화회관,경상북도 포항시 북구 환호로50 (경북학생문화회관),경상북도교육청,2010,42712,604.22,70,0,0
의성군립도서관,경상북도 의성군 안계길114,의성군,2001,1207,1191,224,0,0
