도서관명,주소,설립주체,개관년도,대지(m²),연면적(m²),열람석(석),"소장자료, 도서(권)",이용자수(명))
경상북도립칠곡공공도서관,경상북도 칠곡군왜관읍 군청3길 13,경상북도교육청,1985,2836.0,1277.94,507,2009,1040
경상북도립청도공공도서관,경상북도 청도군 청화로124,경상북도교육청,1984,3891.0,1703.0,568,2800,1925
경상북도립의성공공도서관,경상북도 의성군 중리길44 (의성공공도서관),경상북도교육청,1973,5658.0,1670.77,500,1030,1779
경상북도립영덕공공도서관,경북 영덕군 영덕읍 화개리 87-8 ,경상북도립영덕공공도서관,1973,1808.0,1598.0,248,0,0
경상북도립상주도서관화령분관,경북 상주시 화서면 달천리 503-1 ,경상북도교육청,1992,1040.0,774.0,290,0,0
경상북도교육정보센터,경북 경산시 원효로60 (계양동 478-3),경상북도교육청,1998,6817.0,6209.0,1156,7055,1366
경상북도립고령공공도서관,경상북도 고령군 향교길25 (고령공공도서관),경상북도교육청,1990,1693.0,733.05,18,310,158
포항중앙도서관,경북 포항시 북구 죽도2동614-1 (포항중앙교회 비전센터 3층),포항중앙교회,2003,571.0,165.0,36,0,0
구미시봉곡도서관(구 구미시립봉곡도서관),경상북도 구미시 봉곡로15길54 ,구미시,2007,11839.0,4826.0,584,0,0
칠곡군립도서관,경북 칠곡군 왜관읍달오1길 6-7,칠곡군,2010,2449.0,2208.0,321,0,0
포항시립동해석곡도서관,경상북도 포항시 남구 일월로41번길19 (동해석곡도서관),포항시청,2009,4468.0,1209.25,90,0,0
안동시립도서관,경상북도 안동시 태사길78(동문동),안동시청,1965,1385.0,1898.4,346,0,0
송화도서관,경북 경주시 충효동 448번지경북 경주시 충효동 448번지  송화도서관,경주시,2011,2745.0,2031.0,320,0,0
북삼도서관,경상북도 칠곡군 인평2길2 북삼도서관,칠곡군청,2013,680.0,1419.0,216,0,0
경산시립도서관,경북 경산시 하양읍문화로 10길 15(금락리 97번지),경산시청,2007,4343.0,2557.0,509,0,0
구미시립중앙도서관,경상북도 구미시 경은로85 (구미시립도서관),구미시,1994,6783.4,8395.37,931,15069,3376
김천시립도서관,경북 김천시 평화동평화순환길 111,김천시,1963,19900.0,7270.0,1124,0,0
포항시립오천도서관,경북 포항시 남구 오천읍 용덕리 263-1,포항시,1999,2661.0,2548.0,364,0,0
구미시 상모정수도서관,경상북도 구미시 상사서로4길10 (상모정수도서관),구미시(구미시립중앙도서관),2011,4503.0,3716.0,640,0,0
포항시립대잠도서관(구 포항시립도서정보센터),경상북도 포항시 남구 시청로1 (포항시청) 문화동 4층 대잠도서관,포항시,2007,928.0,1856.0,130,0,0
성주군청사도서관,경상북도 성주군 청사도서관길13 (청사도서관),성주군청,1987,963.0,395.16,100,0,0
진보공공도서관,경상북도 청송군 진보로183-15 (청송군립진보공공도서관),청송군청,2009,2567.0,1588.74,206,0,0
칠평도서관(구 안강읍민도서관),경상북도 경주시 비화중로51,경주시청,1999,1155.0,994.0,130,0,0
경주중앙도서관(구 경주시립도서관중앙분관),경북 경주시 사정동 금성로 236(1-26번지),경주시,1953,2013.0,536.0,58,0,0
문경시립모전도서관,경북 문경시 모전동220-1,문경시,2009,3727.0,2322.0,328,0,0
포항시립영암도서관,경상북도 포항시 남구 상공로46번길 11,포항시,1987,3020.0,1701.0,352,0,0
포항시립포은도서관,경북 포항시 북구 덕수동 35-19 ,포항시,2007,0.0,0.0,0,0,0
감포도서관(구 감포읍민도서관),경북 경주시 감포읍 전촌리동해안로 2151 감포읍복지회관 2층 감포도서관,경주시,1996,10101.0,308.0,12,0,0
울진남부도서관,경상북도 울진군 후포삼율로194 13 (울진남부도서관),울진군,2010,18830.0,2362.0,181,0,0
영주시립도서관,경북 영주시 가흥2동 가흥로 263,영주시,2004,61783.0,808.37,177,0,0
문경시립문희도서관,경북 문경시 문경읍 상리 491,문경시청,1998,4338.0,1668.0,234,0,0
석적도서관,경상북도 칠곡군 남중리2길25,칠곡군,2012,2166.6,960.13,124,0,0
단석도서관(구 건천읍민도서관),경상북도 경주시 작원3길23  (단석도서관),경주시청,1996,938.0,668.0,50,0,0
문경시립중앙도서관,경상북도 문경시 신흥로101 (중앙도서관),문경시청,1997,4000.0,2526.0,657,0,0
구미시인동도서관(구 구미시립인동도서관),경상북도 구미시 인동14길14 (구미시인동도서관),구미시청,2000,10326.0,5069.0,517,0,0
경주시립도서관,경상북도 경주시원화로 431-12(황성동 370) 경주시립도서관,경주시,1989,5376.0,3253.0,235,4673,27277
구미시선산도서관(구 구미시선산도서관),경상북도 구미시 선산대로1400 16 (선산도서관),구미시청,2007,4576.0,2942.0,412,0,0
죽변면도서관,경북 울진군 죽변면 죽변리 281,울진군청,1994,923.0,403.0,66,6839,405
의성군립도서관,경상북도 의성군 안계길114,의성군,2001,1207.0,1191.0,224,0,0
영천시립도서관,경상북도 영천시중앙동 1길 80 ,영천시,1985,12857.0,5639.0,630,0,0
포항시립어린이영어도서관,경상북도 포항시 남구뱃머리길 39 포항시 평생학습원 5층 어린이영어도서관,포항시,2014,745.39,745.39,40,0,0
경산도서관(구 경산시립도서관 경산분관),경북 경산시 서상동 36-6 ,경산시,1968,1310.0,783.0,194,0,0
청도어린이도서관,경북 청도군 화양읍 범곡리124-1(청화로 79-3),청도군청,2012,1822.0,1120.8,65,0,0
경상북도립외동공공도서관,경상북도 경주시 입실로98 (외동공공도서관),경상북도교육청,1988,2121.0,938.0,271,0,0
포항시립포은도서관,경북 포항시 북구 덕수동 35-19 ,포항시,2007,0.0,0.0,0,0,0
구미시립중앙도서관,경상북도 구미시 경은로85 (구미시립도서관),구미시,1994,6783.4,8395.37,931,15069,3376
경산시립도서관,경북 경산시 하양읍문화로 10길 15(금락리 97번지),경산시청,2007,4343.0,2557.0,509,0,0
경산도서관(구 경산시립도서관 경산분관),경북 경산시 서상동 36-6 ,경산시,1968,1310.0,783.0,194,0,0
경상북도립상주도서관화령분관,경북 상주시 화서면 달천리 503-1 ,경상북도교육청,1992,1040.0,774.0,290,0,0
경상북도립울진공공도서관,경북 울진군 울진읍월변7길 17(읍내리 290-6),경상북도교육청,1974,2263.0,1628.83,155,87390,58760
경상북도립상주도서관화령분관,경북 상주시 화서면 달천리 503-1 ,경상북도교육청,1992,1040.0,774.0,290,0,0
경주중앙도서관(구 경주시립도서관중앙분관),경북 경주시 사정동 금성로 236(1-26번지),경주시,1953,2013.0,536.0,58,0,0
경상북도립상주도서관화령분관,경북 상주시 화서면 달천리 503-1 ,경상북도교육청,1992,1040.0,774.0,290,0,0
경상북도립청도공공도서관,경상북도 청도군 청화로124,경상북도교육청,1984,3891.0,1703.0,568,2800,1925
영천시립도서관,경상북도 영천시중앙동 1길 80 ,영천시,1985,12857.0,5639.0,630,0,0
경상북도립영주공공도서관,경상북도 영주시 중앙로7,경상북도교육청,1983,5112.0,1807.0,582,23262,5923
경상북도학생문화회관,경상북도 포항시 북구 환호로50 (경북학생문화회관),경상북도교육청,2010,42712.0,604.22,70,0,0
의성군립도서관,경상북도 의성군 안계길114,의성군,2001,1207.0,1191.0,224,0,0
